FFT Output for Dense Chords,,,,,,,FFT Output for Sparse Chords,,,,,
,,,,,,,,,,,,
B2,B3,B3,B4,B2,B2,,E2,B2,G#3,D#4,G#4,B4
B2,B2,B3,E4,G#4,B4,,B2,B2,B3,D#4,G#4,B4
B2,D#4,E4,E4,G#4,D#5,,B2,G#3,D#4,G#4,G#4,D#5
D#3,F#3,G#3,C#4,D#4,A#4,,D#3,F#3,G#3,C#4,D#4,A#4
G#2,G#2,F#3,F#3,G5,G#2,,G#2,G#2,F#3,F#3,G5,G#2
G#2,G#2,F#3,F#3,C#4,C#5,,G#2,G#2,F#3,F#3,C#4,C#5
C3,C3,G4,C5,C5,G5,,C3,C3,G4,C5,C5,G5
G#2,G#3,G#4,C5,C5,D#5,,G#2,G#3,G#4,C5,C5,D#5
B2,B3,B3,D#4,G#4,B4,,B2,E3,E4,E4,G#4,G#5
G#3,B3,E4,G#4,B4,B4,,B2,G#3,D#4,G#4,D#5,G#5
B2,B3,D#4,E4,E4,D#5,,B2,B2,B3,D#4,G#4,D#5
G#2,F#3,F#3,C#4,G5,G5,,G#2,G#2,F#3,F#3,C#4,C#5
G#2,F#3,G#3,A#3,C#4,C#5,,G#2,F#3,G#3,A#3,C#4,C#5
G#2,G#2,F#3,F#3,G#2,G#2,,G#2,G#2,F#3,F#3,G#2,G#2
G#3,C5,C5,C5,C5,G5,,G#3,G#3,G4,C5,C5,C5